,Symbol,Sector,EPS Next 5Y,Market Cap,Total Assets,Total Debts,Free Cash Flow,Beta,P/E Ratio,DCF Results
0,AAPL,Technology,17.93,,,,,,,126.85895976892292
1,ADBE,Technology,17.5,,,,,,,368.38798463909296
2,BA,Industrials,12.33,,,,,,,-718.1073396399264
3,BYND,Consumer Defensive,-6.9,,,,,,,-10.365220213317164
4,CAT,Industrials,19.06,,,,,,,246.39964608905748
5,DIS,Communication Services,51.7,,,,,,,320.94025758900057
6,DOCU,Technology,56.0,,,,,,,264.6558454562777
7,ENPH,Technology,41.67,,,,,,,155.55230419231074
8,ETSY,Consumer Cyclical,52.8,,,,,,,830.6424955062779
9,FB,Communication Services,23.7,,,,,,,335.66439148817085
10,GS,Financial,16.8,,,,,,,-1862.2568003081647
11,HD,Consumer Cyclical,10.57,,,,,,,298.6944451274086
12,JPM,Financial,1.28,,,,,,,-317.36566711848104
13,LMT,Industrials,5.11,,,,,,,337.3598843889577
14,MCD,Consumer Cyclical,20.43,,,,,,,218.9926444114527
15,MSFT,Technology,16.73,,,,,,,219.54918062172536
16,NKE,Consumer Cyclical,40.6,,,,,,,97.25104730716535
17,NVAX,Healthcare,0.0,,,,,,,-11.916601088236803
18,NVDA,Technology,26.84,,,,,,,331.7815389373121
19,PYPL,Financial,23.51,,,,,,,177.56969174729565
20,QCOM,Technology,27.29,,,,,,,171.85809595483127
21,SPOT,Communication Services,,,,,,,,
22,SPY,Financial,,,,,,,,N/A
23,SQ,Technology,56.41,,,,,,,94.47564508619432
24,TGT,Consumer Defensive,11.45,,,,,,,345.1967809934717
25,TQQQ,Financial,,,,,,,,N/A
26,UNP,Industrials,13.23,,,,,,,161.35259354565488
27,V,Financial,18.84,,,,,,,154.1281334603527
28,XOM,Energy,10.14,,,,,,,-26.896913744107014
29,ZM,Communication Services,15.38,,,,,,,167.58268134294562
